published_at,dislikes/likes
2020-07,0.02262242813729886
2020-08,0.06399166049408944
2020-09,0.056870460646802214
2020-10,0.0523584055131893
2020-11,0.05036521806693868
2020-12,0.053972009718675905
2021-01,0.05991393278776629
2021-02,0.037908359540746624
2021-03,0.05151581537965918
2021-04,0.04794920541169075
2021-05,0.04090827497360273
2021-06,0.03659466876249235
2021-07,0.03868277761522366
2021-08,0.0369213554063987
2021-09,0.03233726002246266
2021-10,0.03611157885935016
2021-11,0.04443512960203655
2021-12,0.029609211663681852
