published_at,view_count
2020-07-27,9501598.0
2020-08-03,14954488.0
2020-08-05,8786271.166666666
2020-08-06,10715767.096774194
2020-08-07,18728062.48214286
2020-08-08,4150897.95
2020-08-09,3922570.5512820515
2020-08-10,2413083.1494252873
2020-08-11,7817924.045977011
2020-08-12,3121784.2916666665
2020-08-13,4880529.354430379
2020-08-14,13476095.528735632
2020-08-15,8568798.210526315
2020-08-16,2585289.285714286
2020-08-17,14239302.311688311
2020-08-18,4478729.45
2020-08-19,5035378.048192771
2020-08-20,9463664.736111112
2020-08-21,31029834.23943662
2020-08-22,8339343.72881356
2020-08-23,3836558.0
2020-08-24,7190698.806818182
2020-08-25,5290726.3655913975
2020-08-26,3960756.7282608696
2020-08-27,5929086.3513513515
2020-08-28,15365161.023809524
2020-08-29,4405367.662790698
2020-08-30,2884953.5
2020-08-31,2622060.9873417723
2020-09-01,4661032.725274725
2020-09-02,8394731.75
2020-09-03,19736044.60714286
2020-09-04,12902904.451219512
2020-09-05,4752211.96
2020-09-06,5033920.918918919
2020-09-07,2945296.2352941176
2020-09-08,2306313.095238095
2020-09-09,4538211.386666667
2020-09-10,5921449.793478261
2020-09-11,7279380.380952381
2020-09-12,3406470.5753424657
2020-09-13,5767856.046511628
2020-09-14,5307539.604395605
2020-09-15,3000476.1379310344
2020-09-16,2914464.4423076925
2020-09-17,7546181.012658228
2020-09-18,12450259.029126214
2020-09-19,3336650.561797753
2020-09-20,3315994.494736842
2020-09-21,11218463.09708738
2020-09-22,7975292.373493976
2020-09-23,5135747.44680851
2020-09-24,5562899.013157895
2020-09-25,9035633.779069768
2020-09-26,8156703.169230769
2020-09-27,2848631.326923077
2020-09-28,4425810.182926829
2020-09-29,4681821.844155844
2020-09-30,3885324.4523809524
2020-10-01,5470589.64935065
2020-10-02,35146469.13953488
2020-10-03,3620851.0853658537
2020-10-04,3275724.2790697673
2020-10-05,3670132.3552631577
2020-10-06,4187525.84
2020-10-07,3320039.2441860465
2020-10-08,9423672.6625
2020-10-09,9459747.721518988
2020-10-10,8303237.818181818
2020-10-11,6515775.875
2020-10-12,5225190.872093023
