,title,view_count,favorability,likes,dislikes,video_id
517923,"Mehendi Wale Haath Song |Guru Randhawa |Sanjana S|Sayeed Q, Sachet-Parampara, Arvinder|Bhushan Kumar",8804827,0.9674774997077884,757469,12521,uJ6WU-u4i3w
455862,#OFB​ IZZPOT - LIVE’⭕️ [Official Music Video],368930,0.9862233860867585,17445,121,dsPQ6FG1nLY
494164,England v Pakistan 3rd IT20 | Final Ball Thriller as Ali & Hafeez Star | Vitality IT20 2020,7543142,0.8908764802195787,139160,8031,xfc9b4MTFhk
81596,ESTAMOS MORANDO NUMA CASA ENORME!!! - Lore Souza,111724,0.9851267459906881,15349,115,70dOoQ-D-e4
516366,Farmer Protest: किसानों और सरकार की बातचीत में क्या फ़ैसला हुआ? (BBC Hindi),403196,,0,0,pNySMObMc8s
945181,Щенок припозл под машину умирать?🥺,68614,0.9915951672211522,5687,24,6FI6kcGEcNs
214510,Watch: Prince Harry Crashes Meghan Markle’s Birthday Video,941207,0.13408892763731473,3252,2483,qxwMS9EP_bg
192704,Reacting to Players Eliminating me In Fortnite...,2001645,0.9892488159709039,149316,807,oMYvUEJW5D4
127987,Jefferson Moraes e Guilherme & Benuto - Última Satisfação (EP Quem Não Chora Faz Bico),126151,0.986904761904762,8345,55,aEgajti8xso
214975,How I ENDED an Entire Minecraft SMP...,1106693,0.9703333423890896,36263,546,yjMS5SBfVgw
946226,Мини Pop It и Simple Dimple для кукол! Поп Ит и Симпл Димпл своими руками! Анна Оськина,114705,0.900990099009901,3840,200,T07_qRUImd0
75177,Naiara Azevedo  - Apenas solteira feat Solange Almeida,277423,0.9677493665054135,12813,210,wbAVUEtvCVY
216388,King Von - Demon (Official Video),4641573,0.9731535209556907,251803,3426,8OXlDMNRu_Q
349494,J’ai reçu l’iPhone 12 Mini et l’iPhone 12 Pro Max,41105,0.864696734059098,2398,174,Ow5fNrLNMus
454309,Minecraft’s Body Shuffle Mod Is Stupidly Funny,4152088,0.9876770174742785,425989,2641,h9stFKuPGa8
376476,ON DEVIENT PAPA  ! (NOTRE ADOPTION),179448,0.7525221644756955,11465,1619,n_SlK5xHMpM
494517,LET'S TALK ABOUT PUBG BAN  | DYNAMO GAMING #BounceBack,2203074,0.9321084176981269,373777,13134,q_CHdbYNXp0
433918,Binging with Babish: Garlic Bread from Scott Pilgrim vs The World,1634732,0.9906425229472481,83604,393,jBnWZijMbMY
243530,I CHEATED in Five Nights at Freddy's Security Breach,931563,1.0,43806,0,lh0Funkuz90
208689,Clash Royale: 🏝️ Vacation Royale 🏝️ (New Season!),2082417,0.935282902333575,36034,1205,_6hJG0_vKDc
571683,करवा चौथ स्पेशल मेहंदी डिजाइन|| 3 number very easy Arabic mehndi trick||back hand Arabic mehndi desi,654584,0.674850422942026,4059,788,js1a8JrNt54
527229,Gold Chain | Gujarati Comedy Video - Kaminey Frendzz,184454,0.9714592097665594,23900,346,dCc9UnQpCSc
193148,3 Incorrect Reasons to Ride a Motorcycle,395032,0.9789742384039231,29460,313,Q3Ak7ArqmyI
907801,Принцессы не храпят | Уральские пельмени 2020,230814,0.935629953097202,5984,199,cUhAEh-ZATY
20715,I Completed EVERY Advancement in Minecraft 1.17 (#47),4222949,0.984186616071901,262494,2092,YGXrWDoxk14
421223,Soirée anecdotes - Best-of #28 (Les visiteurs/Astérix - Star Wars),390387,1.0,17647,0,MPofKHIiAMM
914076,Тайный госпереворот в России: Мишустин не на шутку удивил своей тактикой,48308,0.9547815459822793,3199,74,mwbLYJAOWt0
162194,2022 Honda Civic Prototype – Redline: First Look,153229,0.8911605532170775,3145,181,jHc1MrN89Dc
479625,No Time To Die - Movie Review,564429,0.9369083017191292,28336,923,s2L9ulT2BLs
974389,ЖУТКИЕ ПАСХАЛКИ #22 (Спустя 8 месяцев...),150314,0.9750282002411607,25388,321,fTOheaT2xtM
173890,Funk Flex x Rowdy Rebel - RE-ROUTE (Official Video),988601,0.9634501260060158,60381,1124,Y0kyvUNKkoU
95399,Marshmello x 2021 UEFA Champions League Final Opening Ceremony presented by Pepsi #UCLFinal,2867792,0.9759397924664563,207940,2532,HiFMBLFzk_U
600867,【LiSA - 炎】圧倒的な歌唱力！歌柱がTHE FIRST TAKEで舞う。【鬼滅の刃】【リアクション動画】,694186,0.9185173839791698,12526,532,uPb_-4iMLSs
76090,NOBRU APRESENTA A MANSÃO DO TIME DO FLUXO!,2031199,0.9880052446703466,368439,2223,eR-oHpYeb34
1022579,Found A Star and A couple of other Gems sitting on the beach yesterday.,2952025,0.8111453662182362,38773,4043,vyc6xl3Q5NA
103291,A SURRA DO SÉCULO - NARUTO E SASUKE VS. JIGEN!,576643,0.9894502465143402,112581,597,jCuP-JD0MsY
146155,My Husband Passed Away | Telling His Story,4630491,0.9635776273476161,334304,6201,epKhvHMjAvs
451529,Central Cee - Commitment Issues [Music Video],704505,0.9838895281933256,55168,448,WbHGtGSwoGA
760022,대구 역트하우스 최초공개,595127,0.9605263157894737,14155,285,QRw1Z-oB9Rs
892493,КАК Я НАУЧИЛАСЬ ПЕТЬ... Как учат вокалу в США и России,137049,0.9155042918454935,21423,945,FPYi0MGFQhA
924311,Ищем хорошее пиво в Пятерочке!,22800,0.9722222222222222,2982,42,BX0y6n1SUI4
488533,POV Design Your Soulmate... GONE WRONG (Part 11),2080691,1.0,176063,0,lz_6DimYy1s
726103,(EN/CN) '쭌&잭슨(Jackson)' 호불호 음식 월드컵! Lv.999 '천엽vs 개불vs 소 생간' 😱 먹방 갑니다!ㅣ와썹맨2 ep.31ㅣMukbang Real Sound,926093,0.9896067668496356,44221,231,DdMQJcksFxg
893030,"Дмитрий «Гоблин» Пучков: об отдыхе в Крыму, Белоруссии и Украине",155880,0.7420545958064091,13210,1956,gRnjnj5egh0
1031228,Dad jokes 😂 pt 7 #shorts,997270,1.0,80618,0,6R7wTts8Smg
806050,Pedo Atorado 🤢 | SKETCH ft. Any Cemar,228768,0.9758330702333458,34420,421,Tn9wMvDvWDk
558988,Bhukkad Shanta Aur Bhai Behen || Raksha Bandhan Special Video || Mr And Mrs Chauhan,2915062,0.6777632935774461,43116,8281,KPOZOD4DAPU
883947,JUKILOP ME DA EL MEJOR REGALO DE CUMPLEAÑOS 🎁 😭/ el súper trucha,3993733,1.0,323541,0,IR75whq6Pnw
996947,I Quit Fortnite to do this...,714659,0.9532221854182769,53071,1271,-YrK6IY-4-o
848685,Cuando se muere un familiar y lo publicas en redes,385084,0.9907503576397735,50793,236,DEpFBmcKtmM
944379,Строим НОВУЮ БУХАНКУ,248614,0.9729444834855938,28075,385,SRWcLRjq08k
253884,Mutter und Sohn nach 60 Jahren wiedervereint! | Julia Leischik sucht - Bitte melde Dich | SAT.1,147007,0.9618843683083512,4581,89,R7_-dQfa8Ho
735372,(ENG) 샤이니 View 때문에 불렀는데 왜 다른 노래 얘기하지금부터 all stop 어느 누구라 해도 / [문명특급 EP.181],2409710,0.9867909021595984,100324,667,siAsCLpgZTI
989006,HOT GIRL RACED ME! (Ferrari 812 Superfast vs Hellcat Redeye),734496,0.9328351596420238,32720,1137,oVa90i9OKQg
257616,20 MIN BOOTY + THIGHS - with weights I build your booty & tone your thighs // TALKING MODE,304955,0.9581253259816706,13140,281,-CWPIgK4G-k
45685,É POR ISSO que Daniel Alves quer SAIR DO SÃO PAULO 😳 Entenda TODA A HISTÓRIA 😱,126515,0.9777706870878536,18595,209,Z0Ux0CoJ1uk
